sku,name,reason
11593,Mehrweggabel - Superior schwarz 2000 Stk.,nicht_in_excel
11593-100,Mehrweggabel - Superior schwarz 100 Stk.,nicht_in_excel
11593-1000,Mehrweggabel - Superior Schwarz 1000 Stk.,nicht_in_excel
11595,Mehrweglöffel - Superior Weiß 2000 Stk.,nicht_in_excel
11595 S,Mehrweglöffel - Superior schwarz 2000 Stk.,nicht_in_excel
11595-1000,Mehrweglöffel - Superior weiß 1000 Stk.,nicht_in_excel
11595-1000 S,Mehrweglöffel - Superior schwarz 1000 Stk.,nicht_in_excel
11595-50,Mehrweglöffel - Superior weiß 50 Stk.,nicht_in_excel
11595-50 S,Mehrweglöffel - Superior schwarz 50 Stk.,nicht_in_excel
11596,Mehrweglöffel - Transparent 2000 Stk.,nicht_in_excel
11596-100,Mehrweglöffel - Superior Transparent 100 Stk.,nicht_in_excel
11596-1000,Mehrweglöffel - Superior Transparent 1000 Stk.,nicht_in_excel
11612,250 St. Salatschale 610 ml mit Deckel,nicht_in_excel
11642,1 Rolle Papiertischtuchrolle 100 cm x 100m,nicht_in_excel
11649,Midi Handtuchrollen 2 lagig weiß,nicht_in_excel
11649-AG-072,Rollenhandtücher 2 Lagig Weiss FUNNY AG-072,nicht_in_excel
11649-AG-083,Rollenhandtücher 2 Lagig Weiss FUNNY AG-083,nicht_in_excel
11784,"Pappbecher mit Neutraldruck "" 180 ml",nicht_in_excel
11956,Mehrweggabel - Superior weiß 2000 Stk.,nicht_in_excel
11956 -1000,Mehrweggabel - Superior weiß 1000 Stk.,nicht_in_excel
11956-100,Mehrweggabel - Superior weiß 100 Stk.,nicht_in_excel
12033,1 Rolle Handstretchfolie 50 cm,nicht_in_excel
12033-6,6 Rolle Handstretchfolie 50 cm,nicht_in_excel
12043,Dönertüten Fettdicht 35g/qm 2000Stk.,kein_lizenzwert_in_excel
12045,Dönertasche Fettdicht 35g/qm 4000 Stk.,kein_lizenzwert_in_excel
12050,25 Rollen Dönerfolie 30cm,kein_lizenzwert_in_excel
12053,Folienverpackungsmaschine 45cm,nicht_in_excel
12101,Gyros Box neutralmotiv groß 500 Stk.,nicht_in_excel
12107,Papier Trinkhalme schwarz Jumbo,nicht_in_excel
12108,Papier Trinkhalme naturbraun Jumbo,nicht_in_excel
12109,"Kurze Mehrweg-Trinkhalme, schwarz 7000 Stk.",nicht_in_excel
12540,"Holz-Messer - 16,5cm - 1000 Stk.",nicht_in_excel
12540-100,"Holz-Messer - 16,5cm - 100 Stk.",nicht_in_excel
12540-2500,"Holz-Messer - 16,5cm - 2000 Stk.",nicht_in_excel
12541,Holz-Gabel - 16cm - 1000 Stk.,nicht_in_excel
12541-100,Holz-Gabel - 16cm - 100 Stk.,nicht_in_excel
12541-2500,Holz-Gabel - 16cm - 2000 Stk.,nicht_in_excel
12542,Holz-Löffel - 16cm - 1000 Stk.,nicht_in_excel
12542-100,Holz-Löffel - 16cm - 100 Stk.,nicht_in_excel
12542-2500,Holz-Löffel - 16cm - 2000 Stk.,nicht_in_excel
12543-100,Holz-Kaffeelöffel - 11cm - 100 Stk.,nicht_in_excel
12543-1000,Holz-Kaffeelöffel - 11cm - 1000 Stk.,nicht_in_excel
12543-2500,Holz-Kaffeelöffel - 11cm - 2500 Stk.,nicht_in_excel
12544,Holzbesteck-Set 3-teilig 500 Stück,nicht_in_excel
13021-1200,Alu Schale mit Deckel 670ml. R13L (670B) 1200 Stk.,nicht_in_excel
13023-1000,Alu Schale mit Deckel 860ml. R84L 1000 Stk.,nicht_in_excel
13025-1200,Alu Schale mit Deckel 650ml. R65L (650B) 1200 Stk.,nicht_in_excel
13027-1000,Alu Schale mit Deckel 901ml. R14L 1000 Stk.,nicht_in_excel
13028-1000,Alu Schale mit Deckel 450ml. R28L (450B) 1000 Stk.,nicht_in_excel
13029-600,Alu Schale rund mit Deckel 770ml. C801-770L 600 Stk.,nicht_in_excel
13032-1000,"Alu Menüschale 3 geteilt, tief mit Deckel (R819-960G) -1000 Stk.",nicht_in_excel
13034,Alu Einlegedeckel rund für C801-770L - 100Stk.,nicht_in_excel
13038-1000,Alu Menüschale ungeteilt mit Deckel 930 ml (R879-930G)-1000 Stk.,nicht_in_excel
13040-1000,"Alu Menüschale 2-geteilt mit Deckel 830ml, (R880-812G) 1000 Stk",nicht_in_excel
13042-1000,Alu Menüschale 3 geteilt mit Deckel 760ml (R881-760G) 1000 Stk,nicht_in_excel
13043-1000,"Alu Menüschale 2 geteilt, tief mit Deckel (R808-1020G)-1000 Stk.",nicht_in_excel
13048-1000,"Alu Menüschale ungeteilt,tief mit Deckel (R792-1150G) 1000 Stk.",nicht_in_excel
13049-100,Alu Großschale 2625ml 100 Stk.,nicht_in_excel
13051,Folienabreisser 30 cm Breite,nicht_in_excel
13052,Folienspender 45 cm Breite,nicht_in_excel
14026-3,300 St. B2 Salatschale mit Deckel,nicht_in_excel
14028-3,300 St. B3 Salatschale mit Deckel,nicht_in_excel
14479,Seitenfaltenbeutel 60 + 42 x 65cm Transparent,nicht_in_excel
15334,Pizzakartons NewYork 33x33x4.2cm 100 Stk.,nicht_in_excel
15364,Pizzakartons NewYork 36x36x4.2cm 100 Stk.,nicht_in_excel
17788-Schwarz-L-100,Einmalhandschuhe Nitril - 100 Stk. Schwarz,nicht_in_excel
17788-Schwarz-L-1000,Einmalhandschuhe Nitril - 1000 Stk. Schwarz,nicht_in_excel
17788-Schwarz-M-100,Einmalhandschuhe Nitril - 100 Stk. Schwarz,nicht_in_excel
17788-Schwarz-M-1000,Einmalhandschuhe Nitril - 1000 Stk. Schwarz,nicht_in_excel
17788-Schwarz-S-100,Einmalhandschuhe Nitril - 100 Stk. Schwarz,nicht_in_excel
17788-Schwarz-S-1000,Einmalhandschuhe Nitril - 1000 Stk. Schwarz,nicht_in_excel
17788-Schwarz-XL-100,Einmalhandschuhe Nitril - 100 Stk. Schwarz,nicht_in_excel
17788-Schwarz-XL-1000,Einmalhandschuhe Nitril - 1000 Stk. Schwarz,nicht_in_excel
17789-BLAU-L-100,Einmalhandschuhe Nitril - 100 Stk. Blau,nicht_in_excel
17789-BLAU-L-1000,Einmalhandschuhe Nitril - 1000 Stk. Blau,nicht_in_excel
17789-BLAU-M-100,Einmalhandschuhe Nitril - 100 Stk. Blau,nicht_in_excel
17789-BLAU-M-1000,Einmalhandschuhe Nitril - 1000 Stk. Blau,nicht_in_excel
17789-BLAU-S-100,Einmalhandschuhe Nitril - 100 Stk. Blau,nicht_in_excel
17789-BLAU-S-1000,Einmalhandschuhe Nitril - 1000 Stk. Blau,nicht_in_excel
17789-BLAU-XL-100,Einmalhandschuhe Nitril - 100 Stk. Blau,nicht_in_excel
17789-BLAU-XL-1000,Einmalhandschuhe Nitril - 1000 Stk. Blau,nicht_in_excel
17790,Einweg-PE-Handschuhe,nicht_in_excel
18500,EC-Cash Thermorollen 57 x 35 x 12 mm 13 meter,nicht_in_excel
18501,Thermorollen 57mm x 50m x 12 mm,nicht_in_excel
18502,Thermorollen 80mm x 80m x 12 mm,nicht_in_excel
18503,Linerless Waagenetiketten 58 x 65m x 40 selbstklebend,nicht_in_excel
18504,Thermorollen 62mm x 50m x 12 mm,nicht_in_excel
19192,Holz Snack-Gabeln 12cm 1000 Stk.,nicht_in_excel
19193,"Pommes-Frites-Gabeln, Holz 8,5cm 1000 Stk.",nicht_in_excel
19194,"Eisspaten 9,5cm - bunt - 1 Kg",nicht_in_excel
19197,Pommes-Gabel Einweg 1000 Stk.,nicht_in_excel
228518,Servietten weiß 40x40cm 2-lagig 1/8 Falz,nicht_in_excel
228520,Servietten weiß 40x40cm 2-lagig 1/4 Falz,nicht_in_excel
228521,Servietten cream 40x40cm 2-lagig 1/4 Falz,nicht_in_excel
228522,Servietten gelb 40x40cm 2-lagig 1/4 Falz,nicht_in_excel
228523,Servietten rot 40x40cm 2-lagig 1/4 Falz,nicht_in_excel
228524,Servietten bordeaux 40x40cm 2-lagig 1/4 Falz,nicht_in_excel
228525,Servietten blau 40x40cm 2-lagig 1/4 Falz,nicht_in_excel
228526,Servietten grün 40x40cm 2-lagig 1/4 Falz,nicht_in_excel
228527,Servietten weiß 40x40cm 3-lagig 1/4 Falz,nicht_in_excel
228528,Servietten cream 40x40cm 3-lagig 1/4 Falz,nicht_in_excel
228529,Servietten gelb 40x40cm 3-lagig 1/4 Falz,nicht_in_excel
