sku,name,licenseType,licenseWeightKg,licenseFeeEuro,matchedOfficialSkuKey
19200,"Transport- und Catering-Kartons, groß, 40 Stk.",LP,16.680,4.17,19200
19200G,"Transport- und Catering-Kartons, groß, 10 Stk.",LP,16.680,4.17,19200
19201,Pommestüten aus Pergamentersatz 19cm 125gr,LP,1.800,0.45,19201
19202,Pommestüten aus Pergamentersatz 21cm 200gr,LP,2.300,0.58,19202
19203,Pommestüten aus Pergamentersatz 23cm 250gr,LP,2.750,0.69,19203
19220,"Spitzbecher / Papierkegel (Cones) – in Weiß, 8oz (200 ml)",LP,7.500,1.88,19220
19250,Eisbecher 90ml Milky,LP,8.570,2.14,19250
19251,Eisbecher 190ml Milky,LP,7.550,1.89,19251
19252,Eisbecher 370ml Milky,LP,8.940,2.24,19252
19253,Eisbecher 500ml Milky,LP,9.970,2.49,19253
19254,Eisbecher 750ml Milky,LP,5.400,1.35,19254
19255,Eisbecher 1000ml Milky,LP,6.600,1.65,19255
19309,Hamburger-Box klein Bagasse 500 Stk.,LP,6.600,1.65,19309
19310,Hamburger-Box groß Bagasse 500 Stk.,LP,9.000,2.25,19310
19311,Hamburger-Box L braun 400 Stk.,LP,9.750,2.44,19311
19312,Burgerbox -S- Wellpappe 105x102x84mm 210 Stk.,LP,4.800,1.20,19312
19313,Burgerbox -M- Wellpappe 115x115x90mm 220 Stk.,LP,6.800,1.70,19313
19314,Burgerbox -L-Wellpappe 125x125x100mm 200 Stk,LP,6.750,1.69,19314
19315,Lunch-Box IP10 Bagasse 500 Stk.,LP,15.600,3.90,19315
19351,"Menübox ungeteilt Bagasse, 200 Stk.",LP,8.200,2.05,19351
19352,"Menübox 2-geteilt Bagasse, 200 Stk.",LP,8.500,2.13,19352
19353,"Menübox 3-geteilt Bagasse, 200 Stk.",LP,8.300,2.08,19353
19400,Lunchboxen braun Kraftkarton 180 Stk.,LP,7.500,1.88,19400
19623,2000 Stk. Pappteller Eckig 8 x 23 Flach,LP,14.500,3.63,19623
19897,Obst Bodenbeutel 1000g 1000 Stk.,LP,7.200,1.80,19897
19898,Obst Bodenbeutel 1500g 1000 Stk.,LP,9.500,2.38,19898
19899,Obst Bodenbeutel 2000g 500 Stk.,LP,5.600,1.40,19899
19900,Obstspitztüten 750g 1000 Stk.,LP,6.700,1.68,19900
19901,Obstspitztüten 1500g 1000 Stk.,LP,9.000,2.25,19901
234650,Snackschalen 500ml - 185x135x45mm,LP,8.800,2.20,234650
234675,Snackschalen 400ml - 170x125x45mm,LP,8.700,2.18,234675
234676,Snackschalen 800ml - 210x150x55mm,LP,8.000,2.00,234676
234680,Snackschalen 300ml - 155x115x40mm,LP,7.200,1.80,234680
300107,Hot-Dog Beutel 9x21cm Braun Kraft | 2-seitig offen,LP,1.650,0.41,300107
303218,Lunchtüte braun - S - 18+13x30cm,LP,9.750,2.44,303218
303220,Lunchtüte braun - M - 22+14x29cm,LP,5.000,1.25,303220
303221,Lunchtüte braun - L - 26+17x34cm,LP,5.500,1.38,303221
61116,Asia Box GUTEN APPETiT 16oz,LP,8.500,2.13,61116
61126,Asia Box GUTEN APPETiT 26oz,LP,10.000,2.50,61126
99872,Knotenbeutel 5kg 4000 Stück,LK,8.500,8.42,99872
99874,Knotenbeutel 3kg 5000 Stück,LK,7.650,7.57,99874
99875,Knotenbeutel 5kg 3000 Stück,LK,6.800,6.73,99875
99878,Knotenbeutel 5kg 4000 Stück -Extra Stark-,LK,10.500,10.40,99878
